"UNIQUEID","wgs_xF","wgs_yF","PERS106","exp5nrm","exp3nrm","rough_1k","prad_sw_di","etpt_5","mind_yr_av","prec_winte","tave_sprin"
"Z0401030101188321",-109.390372,33.250273,1,105,60,29.65389633,-5768,94,-1577.083333,40.33333333,98
"Z0401030101190680",-109.22672,33.383447,1,-101,-122,55.21475601,-5688,95,-1625.916667,36,109
"Z0401030201180552",-109.335722,33.294745,1,55,29,38.44936371,-5578,95,-1635.166667,40,98.66666667
"Z0401030201182319",-109.167788,33.653191,1,-85,-77,74.04090118,-5445,93,-1405.416667,37.33333333,72
"Z0401030201182551",-109.07151,33.110752,1,-56,-58,23.56862068,-5542,95,-1714.166667,35,110.3333333
"Z0401030400984937",-110.304571,33.033509,1,291,248,72.67325592,-5393,95,-1574.333333,58.66666667,100.3333333
"Z0401030600982709",-109.654421,33.524158,1,-55,-37,9.518058777,-5582,94,-1557.166667,42.66666667,90.33333333
"Z0401030601181827",-109.059915,33.651346,1,-66,-98,52.74071884,-5525,91,-1328.583333,34.66666667,64.33333333
"Z0401030601185971",-109.228696,33.293311,1,-90,-55,21.18527031,-5495,97,-1809.916667,32,131.6666667
"Z0401030800987980",-109.603493,33.343174,1,16,23,18.70496941,-5735,95,-1610.75,39,105
"Z0401030801181235",-109.310674,33.492873,1,-50,2,71.87004089,-5337,93,-1498,43,77
"Z0401030901182494",-109.438845,33.566585,1,153,114,114.8863678,-5091,91,-1198.416667,53.66666667,56.66666667
"Z0402030100183923",-109.137458,35.005065,1,25,26,5.675563335,-5737,94,-1523.75,24.33333333,84
"Z0402030100186755",-109.071229,35.499978,1,18,17,10.90778637,-5780,93,-1484.75,22.33333333,79.33333333
"Z0402030100189235",-109.679672,35.37292,1,29,29,8.045144081,-5764,95,-1605,21.66666667,94
"Z0402030100191558",-109.235563,35.547561,1,-4,4,4.091084003,-5763,92,-1390.25,26,68
"Z0402030100580790",-112.430236,35.281406,1,76,74,29.27831459,-5651,94,-1639.583333,30.33333333,88.66666667
"Z0402030100581382",-111.832225,35.918363,1,-100,-82,6.432830811,-5864,94,-1543.333333,20.66666667,86
"Z0402030100582947",-112.5789,35.577141,1,10,8,28.6561718,-5782,94,-1653.166667,24,89.66666667
"Z0402030100583968",-111.502621,36.415945,1,32,8,21.67716217,-5809,95,-1657.666667,15.66666667,99
"Z0402030100584933",-111.390192,36.236053,1,152,197,40.5868721,-5808,96,-1748,13.33333333,113.6666667
"Z0402030100589302",-111.786695,36.910247,1,-22,-25,23.32938576,-5995,94,-1599.083333,18.33333333,99
"Z0402030100589937",-112.397897,36.589115,1,56,51,20.99604607,-5921,91,-1277.5,39,61
"Z0402030100590284",-110.776813,36.687231,1,113,167,39.47979355,-6009,94,-1555.666667,20,92
"Z0402030100788163",-110.026546,33.887718,1,63,50,32.17737961,-5557,94,-1450.666667,49.66666667,82
"Z0402030100790722",-110.35171,33.890483,1,125,102,44.4758606,-5617,95,-1569.5,49.66666667,97.33333333
"Z0402030101584836",-113.009119,36.445134,1,66,51,16.00485802,-5886,94,-1607.833333,30.33333333,89
"Z0402030101588130",-113.743681,36.700839,1,-67,-41,19.78966141,-5799,96,-1827.333333,27.33333333,122.6666667
"Z0402030101589365",-113.170101,36.216981,1,217,135,49.91403961,-5751,95,-1709.583333,27,94.33333333
"Z0402030101589401",-113.287599,36.440049,1,125,129,9.33036232,-5845,94,-1566.416667,31,83
