UNIQUEID,wgs_xF,wgs_yF,PERS106,exp5nrm,exp3nrm,rough_1k,prad_sw_di,etpt_5,mind_yr_av,prec_winte,tave_sprin
Z0401030100382806,-109.726628,32.262069,0,-53,-104,20.46130562,-5279,97,-1946.25,25,148.6666667
Z0401030100383437,-109.7285,32.12678,0,-7,-4,2.744526148,-5452,97,-1928.416667,23.33333333,150.6666667
Z0401030100385413,-109.299567,32.392347,0,-4,0,1.658129692,-5469,98,-1967,21.33333333,157.3333333
Z0401030100386003,-110.417814,32.086721,0,54,19,51.58792114,-5259,97,-1836.5,36.33333333,143.3333333
Z0401030100386568,-109.888047,32.083132,0,-11,-7,2.516430855,-5449,97,-1933.5,22.66666667,150.6666667
Z0401030100387829,-110.149992,32.400918,0,-12,-59,25.42036629,-5475,97,-1748.25,40.66666667,133.3333333
Z0401030100388270,-109.199504,32.075102,0,-5,0,4.653183937,-5482,97,-1907.666667,23.66666667,145.3333333
Z0401030100980359,-109.820364,33.210088,0,-23,-13,3.017440796,-5560,97,-1780.5,36,128
Z0401030100980982,-110.356492,33.259118,0,5,2,10.30788136,-5461,98,-1906.416667,38.33333333,162.3333333
Z0401030100982051,-110.413378,32.763168,0,128,139,93.73774719,-5656,96,-1635.083333,51.33333333,131.3333333
Z0401030100983400,-109.984444,32.940968,0,-6,-3,5.528950214,-5568,98,-1949.166667,26,161.6666667
Z0401030100983989,-109.562423,32.575974,0,-6,-3,4.643622875,-5520,98,-1966.166667,21.66666667,160.6666667
Z0401030100985254,-109.824566,32.894441,0,-14,-6,1.430229187,-5549,98,-1978.5,22,165
Z0401030100987372,-110.414637,32.582875,0,-36,2,47.57901382,-5350,98,-1881.666667,38.33333333,159
Z0401030100988242,-109.828991,32.57839,0,-160,-134,28.52633667,-5296,97,-1884.666667,32.66666667,140
Z0401030100990735,-110.355498,33.39441,0,-16,-6,26.0031147,-5801,97,-1739.083333,41.66666667,151.6666667
Z0401030100991883,-109.989998,32.444867,0,-12,-7,1.876247048,-5480,98,-1902.75,28,153.6666667
Z0401030101186112,-109.258411,32.86977,0,-17,-38,20.91138268,-5589,97,-1832.083333,29,141
Z0401030101188321,-109.390372,33.250273,1,105,60,29.65389633,-5768,94,-1577.083333,40.33333333,98
Z0401030101188609,-109.39377,33.069956,0,0,-31,46.86104202,-5411,97,-1863.416667,31.66666667,138.6666667
Z0401030101190680,-109.22672,33.383447,1,-101,-122,55.21475601,-5688,95,-1625.916667,36,109
Z0401030101280111,-114.025348,33.946349,0,-23,-13,2.345401764,-5660,99,-2091.083333,13.66666667,204.6666667
Z0401030101281985,-113.475471,33.461555,0,4,1,9.640507698,-5574,99,-2075.583333,17.33333333,192.6666667
Z0401030101283103,-113.616051,33.485706,0,-5,-1,1.195065618,-5604,99,-2088.916667,15.33333333,199
Z0401030101284239,-113.593769,33.819775,0,-3,0,2.938150406,-5604,98,-2041.25,19.66666667,181.6666667
Z0401030101287533,-113.493692,34.092315,0,-24,-34,4.890012264,-5582,98,-2004.583333,24.33333333,174.6666667
Z0401030101289806,-113.609227,33.972714,0,-56,-40,5.950732231,-5701,98,-1996,21.33333333,179.6666667
Z0401030101290817,-114.181514,34.130322,0,-29,-35,20.96462631,-5681,99,-2100.25,13.66666667,214.6666667
Z0401030101291969,-113.754192,33.771209,0,-17,-7,9.962003708,-5594,99,-2078,16.66666667,192.6666667
Z0401030101380722,-113.053882,33.829952,0,-27,-28,5.282485008,-5592,98,-1992.916667,26,172.6666667
Z0401030101381717,-112.056926,33.599022,0,17,0,20.12057304,-5595,99,-2026.5,26.33333333,197.3333333
Z0401030101381844,-112.632851,33.277117,0,-5,-4,1.98081708,-5582,99,-2079.833333,19.66666667,205.3333333
Z0401030101382607,-111.540566,33.755687,0,17,-18,42.25353241,-5465,98,-1879.833333,48,174
Z0401030101382750,-112.61421,33.430676,0,-4,-4,4.526231289,-5532,99,-2078.25,21.66666667,201.6666667
Z0401030101383078,-112.348154,33.614228,0,-1,0,1.274259567,-5596,99,-2037.25,25,199.3333333
